seqnames	start	end	width	strand	ploidy	sample.id	asm.id
chr1	89153	126241	37089	*	2n	NA12877	verkko
chr1	164871	180104	15234	*	2n	NA12877	verkko
chr1	585988	688853	102866	*	1n	NA12877	verkko
chr1	688854	1373865	685012	*	2n	NA12877	verkko
chr1	1373866	1500971	127106	*	1n	NA12877	verkko
chr1	1500972	2401219	900248	*	2n	NA12877	verkko
chr1	2401220	2406786	5567	*	1n	NA12877	verkko
chr1	2406787	2656335	249549	*	2n	NA12877	verkko
chr1	2656336	2656336	1	*	multi	NA12877	verkko
chr1	2656337	2688914	32578	*	2n	NA12877	verkko
chr1	2688915	2690521	1607	*	1n	NA12877	verkko
chr1	2746310	6005385	3259076	*	2n	NA12877	verkko
chr1	6005386	6005458	73	*	multi	NA12877	verkko
chr1	6005459	12939373	6933915	*	2n	NA12877	verkko
chr1	12939374	12952728	13355	*	1n	NA12877	verkko
chr1	13075112	13224528	149417	*	2n	NA12877	verkko
chr1	13224529	13249063	24535	*	multi	NA12877	verkko
chr1	13249064	13262412	13349	*	multi	NA12877	verkko
chr1	13262413	14109813	847401	*	2n	NA12877	verkko
chr1	14112444	16557906	2445463	*	2n	NA12877	verkko
chr1	16557907	16623525	65619	*	multi	NA12877	verkko
chr1	16623526	16680428	56903	*	multi	NA12877	verkko
chr1	16680429	16680840	412	*	1n	NA12877	verkko
chr1	16680841	16736077	55237	*	multi	NA12877	verkko
chr1	16736078	16736078	1	*	multi	NA12877	verkko
chr1	16736079	16761697	25619	*	multi	NA12877	verkko
chr1	16761698	16761706	9	*	2n	NA12877	verkko
chr1	16761707	16799163	37457	*	1n	NA12877	verkko
chr1	16849181	16859611	10431	*	2n	NA12877	verkko
chr1	16859612	16949270	89659	*	multi	NA12877	verkko
chr1	16949271	26641622	9692352	*	2n	NA12877	verkko
chr1	26646431	29552233	2905803	*	2n	NA12877	verkko
chr1	29553835	29553844	10	*	1n	NA12877	verkko
chr1	29553845	31432092	1878248	*	2n	NA12877	verkko
chr1	31432093	31432093	1	*	multi	NA12877	verkko
chr1	31432094	31432101	8	*	2n	NA12877	verkko
chr1	31432102	31432102	1	*	multi	NA12877	verkko
chr1	31432103	43593625	12161523	*	2n	NA12877	verkko
chr1	43594283	45710241	2115959	*	2n	NA12877	verkko
chr1	45710242	45710889	648	*	1n	NA12877	verkko
chr1	45710890	55666328	9955439	*	2n	NA12877	verkko
chr1	55666329	55666354	26	*	multi	NA12877	verkko
chr1	55666355	103644931	47978577	*	2n	NA12877	verkko
chr1	103644932	103644932	1	*	multi	NA12877	verkko
chr1	103644933	103677725	32793	*	2n	NA12877	verkko
chr1	103677726	103678671	946	*	1n	NA12877	verkko
chr1	103678672	103684091	5420	*	2n	NA12877	verkko
chr1	103684092	103684092	1	*	multi	NA12877	verkko
chr1	103684093	103754640	70548	*	2n	NA12877	verkko
chr1	103754641	103754641	1	*	multi	NA12877	verkko
chr1	103754642	109681835	5927194	*	2n	NA12877	verkko
chr1	109700280	120310290	10610011	*	2n	NA12877	verkko
chr1	120310291	120330939	20649	*	1n	NA12877	verkko
chr1	120330940	120588097	257158	*	2n	NA12877	verkko
chr1	120588098	120825301	237204	*	1n	NA12877	verkko
chr1	120825302	120825378	77	*	multi	NA12877	verkko
chr1	120825379	120924181	98803	*	1n	NA12877	verkko
chr1	120924182	121703507	779326	*	2n	NA12877	verkko
chr1	121703508	121734418	30911	*	multi	NA12877	verkko
chr1	121734419	121757501	23083	*	2n	NA12877	verkko
chr1	122074830	122102383	27554	*	1n	NA12877	verkko
chr1	122271435	122271749	315	*	1n	NA12877	verkko
chr1	122271750	122465527	193778	*	multi	NA12877	verkko
chr1	122465528	122490019	24492	*	2n	NA12877	verkko
chr1	122490020	122490264	245	*	1n	NA12877	verkko
chr1	122512928	122557722	44795	*	1n	NA12877	verkko
chr1	122609313	122651509	42197	*	1n	NA12877	verkko
chr1	124932868	124977944	45077	*	2n	NA12877	verkko
chr1	124978326	125130246	151921	*	2n	NA12877	verkko
chr1	125131847	125171346	39500	*	2n	NA12877	verkko
chr1	143206775	143211364	4590	*	1n	NA12877	verkko
chr1	143211365	143211575	211	*	multi	NA12877	verkko
chr1	143211576	143242763	31188	*	multi	NA12877	verkko
chr1	143242764	143242802	39	*	multi	NA12877	verkko
chr1	143242803	143242843	41	*	1n	NA12877	verkko
chr1	143259887	143259890	4	*	1n	NA12877	verkko
chr1	143259891	143260480	590	*	2n	NA12877	verkko
chr1	143260481	143268331	7851	*	multi	NA12877	verkko
chr1	143268332	143311833	43502	*	2n	NA12877	verkko
chr1	143311834	143311863	30	*	1n	NA12877	verkko
chr1	143327540	143386126	58587	*	1n	NA12877	verkko
chr1	143386127	144077047	690921	*	2n	NA12877	verkko
chr1	144077048	144078019	972	*	multi	NA12877	verkko
chr1	144078020	144139405	61386	*	multi	NA12877	verkko
chr1	144139406	144827613	688208	*	2n	NA12877	verkko
chr1	144882656	144883040	385	*	1n	NA12877	verkko
chr1	144883041	145357077	474037	*	2n	NA12877	verkko
chr1	145357078	145357078	1	*	multi	NA12877	verkko
chr1	145357079	145366606	9528	*	2n	NA12877	verkko
chr1	145366607	145366607	1	*	multi	NA12877	verkko
