seqnames	start	end	width	strand	ploidy	sample.id	asm.id
chr1	2717	115074	112358	*	1n	NA12877	verkko
chr1	115075	804414	689340	*	2n	NA12877	verkko
chr1	804415	935475	131061	*	1n	NA12877	verkko
chr1	935476	1842123	906648	*	2n	NA12877	verkko
chr1	1842124	1846376	4253	*	1n	NA12877	verkko
chr1	1846377	2223218	376842	*	2n	NA12877	verkko
chr1	2223219	2223285	67	*	multi	NA12877	verkko
chr1	2223286	2238794	15509	*	2n	NA12877	verkko
chr1	2238795	2238795	1	*	multi	NA12877	verkko
chr1	2238796	13551984	11313189	*	2n	NA12877	verkko
chr1	13554615	16006027	2451413	*	2n	NA12877	verkko
chr1	16006028	16024884	18857	*	1n	NA12877	verkko
chr1	16024885	16094495	69611	*	2n	NA12877	verkko
chr1	16094496	16117553	23058	*	1n	NA12877	verkko
chr1	16152388	16158803	6416	*	2n	NA12877	verkko
chr1	16158804	16168378	9575	*	1n	NA12877	verkko
chr1	16177658	16182522	4865	*	1n	NA12877	verkko
chr1	16182523	16184746	2224	*	2n	NA12877	verkko
chr1	16184747	16198870	14124	*	1n	NA12877	verkko
chr1	16198871	16396085	197215	*	2n	NA12877	verkko
chr1	16396086	16396439	354	*	1n	NA12877	verkko
chr1	16396440	16559444	163005	*	multi	NA12877	verkko
chr1	16559445	31289117	14729673	*	2n	NA12877	verkko
chr1	31289118	31289118	1	*	multi	NA12877	verkko
chr1	31289119	72179590	40890472	*	2n	NA12877	verkko
chr1	72179591	72179591	1	*	multi	NA12877	verkko
chr1	72179592	103526780	31347189	*	2n	NA12877	verkko
chr1	103526781	103532957	6177	*	1n	NA12877	verkko
chr1	103532958	103561805	28848	*	2n	NA12877	verkko
chr1	103561806	103562322	517	*	1n	NA12877	verkko
chr1	103581516	103620921	39406	*	1n	NA12877	verkko
chr1	103627104	103655952	28849	*	1n	NA12877	verkko
chr1	103655953	103656466	514	*	2n	NA12877	verkko
